risk_id,hazard,foreseeable_sequence,potential_harm,severity_initial,probability_initial,current_controls,verification,residual_status,owner,status
CA-R001,False negative,"Extraction or identity mismatch suppresses a clinically meaningful difference; user receives no flag",Delayed clarification or inappropriate medication use,High,Unknown,"No safety guarantee; fail-closed states; source validation; unsupported patterns to review",Independent clinical sensitivity study and fault injection,Not estimated,Clinical lead,Open
CA-R002,False positive,"Normal change is flagged; user or clinician experiences repeated alerts",Alert fatigue anxiety or ignored future warning,Medium,Unknown,"Neutral wording; no urgency claim; omission is not treated as discontinuation",Independent specificity and alert-burden review,Not estimated,Clinical lead,Open
CA-R003,Fabricated evidence,"Model returns unsupported wording and it is displayed",False trust and unsafe question,High,Low in synthetic tests,"Normalized exact/fuzzy source-span verification; invalid spans rejected",Locked adversarial test plus runtime incident monitoring,Not estimated,Engineering owner,Controlled for current synthetic scope
CA-R004,Salt or formulation collapse,"Terminology normalization removes a clinically relevant distinction",Incorrect equivalence and hidden discrepancy,High,Unknown,"Curated map first; RxNorm exact-first; normalized candidate never auto-accepted; unsupported TTY fails closed",Pharmacist review of RxNorm edge set,Not estimated,Clinical lead,Open
CA-R005,Omission interpreted as stop,"Absent medication is presented as intentional discontinuation",User stops therapy,High,Low by design,"Explicit intent-unknown language; no autonomous resolution",Usability comprehension task and content review,Not estimated,Clinical lead,Open
CA-R006,User-entered response treated as verified,"User records inaccurate text and believes CareAlign confirmed it",Medication misunderstanding,High,Unknown,"Persistent unverified badge; recorded response does not resolve flag; conflicted item excluded from teach-back",Observed usability critical-error measure,Not estimated,UX owner,Open
CA-R007,Unsupported dosing simplified,"PRN taper conditional range or every-other-day instruction is coerced to fixed frequency",Dose or timing error,High,Low in synthetic tests,"Pattern types; insufficient-information state; raw text retained",Independent containment test,Not estimated,Engineering owner,Controlled for current synthetic scope
CA-R008,Chronology error,"Missing ambiguous or same dates produce an incorrect latest-record assumption",Wrong comparison framing,Medium,Low by design,"Required unique ISO dates ordered oldest to newest",API and browser tests,Low for synthetic scope,Engineering owner,Monitored
CA-R009,Provider outage shown as reassurance,"LLM/API failure becomes no-conflict",False reassurance,High,Low by design,"503 unavailable response; no hidden demo fallback",Fault-injection and deployment test,Low for tested failures,Engineering owner,Monitored
CA-R010,Personal health data entered,"Public prototype receives identifiable medication records",Privacy breach,High,Unknown,"Synthetic-only notice and consent; no application database; raw logging off",Privacy review and production telemetry audit,Not estimated,Privacy owner,Open
CA-R011,Prompt injection,"Document text changes model instructions or output structure",Invalid or manipulated result,High,Unknown,"Untrusted-data boundary; strict schema; source evidence; deterministic conflicts",Adversarial corpus and provider regression,Not estimated,Security owner,Open
CA-R012,Automation bias,"High confidence display is understood as clinical correctness",User follows one instruction without confirmation,High,Unknown,"Rule-confidence label; repeated human-confirmation language; no correct-order output",Usability comprehension and wording review,Not estimated,UX and clinical leads,Open

