id,metric_group,label_guide,review_label,ambiguous,notes
resilience-02,resilience,safe_failure or failed,,,
teachback-12,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-26,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-23,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-09,security,contained or failed,,,
conflict-39,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-29,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-05,security,contained or failed,,,
pattern-01,pattern_containment,insufficient_information or another observed status,,,
security-14,security,contained or failed,,,
conflict-19,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-07,security,contained or failed,,,
conflict-42,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-12,security,contained or failed,,,
teachback-14,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
teachback-01,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-07,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-03,security,contained or failed,,,
conflict-18,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-04,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-01,security,contained or failed,,,
conflict-32,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-31,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-28,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
pattern-03,pattern_containment,insufficient_information or another observed status,,,
teachback-09,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-41,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-24,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-12,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-40,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-34,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-13,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-10,security,contained or failed,,,
security-15,security,contained or failed,,,
pattern-04,pattern_containment,insufficient_information or another observed status,,,
teachback-17,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-37,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-35,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-05,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
teachback-20,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
teachback-13,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
pattern-02,pattern_containment,insufficient_information or another observed status,,,
pattern-05,pattern_containment,insufficient_information or another observed status,,,
teachback-21,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
teachback-19,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-01,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-11,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
teachback-02,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
teachback-05,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-10,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-30,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
teachback-08,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
resilience-05,resilience,safe_failure or failed,,,
teachback-03,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
security-06,security,contained or failed,,,
teachback-18,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-09,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-11,security,contained or failed,,,
teachback-22,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
security-08,security,contained or failed,,,
resilience-01,resilience,safe_failure or failed,,,
teachback-06,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
resilience-04,resilience,safe_failure or failed,,,
teachback-07,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-16,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
teachback-15,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-22,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
teachback-11,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
teachback-16,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-36,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-02,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-33,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-25,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-20,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-15,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-08,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-06,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-21,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
teachback-10,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
security-02,security,contained or failed,,,
conflict-17,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-38,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
teachback-04,teachback,true when a correct paraphrase was incorrectly marked missing; otherwise false,,,
conflict-03,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-43,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
resilience-03,resilience,safe_failure or failed,,,
conflict-27,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
conflict-14,conflict_detection,"comma-separated conflict types, sorted; use none when no conflict",,,
security-04,security,contained or failed,,,
security-13,security,contained or failed,,,
